verb,definition,root,present_1,present_2,present_3,present_4,present_5,present_6,presentNegative_1,presentNegative_2,presentNegative_3,presentNegative_4,presentNegative_5,presentNegative_6,past_1,past_2,past_3,past_4,past_5,past_6,future_1,future_2,future_3,future_4,future_5,future_6
ajotin,sürmek,,,,,,,,,,,,,,,,,,,,,,,,,
alîkarî kirin,yardım etmek,,alîkarî dikim,alîkarî dikî,alîkarî dike,alîkarî dikin,alîkarî dikin,alîkarî dikin,alîkarî nakim,alîkarî nakî,alîkarî nake,alîkarî nakin,alîkarî nakin,alîkarî nakin,,,,,,,,,,,,
amade kirin,hazırlamak,,amade dikim,amade dikî,amade dike,amade dikin,amade dikin,amade dikin,amade nakim,amade nakî,amade nake,amade nakin,amade nakin,amade nakin,,,,,,,,,,,,
anîn,getirmek,,,,,,,,,,,,,,,,,,,,,,,,,
ava kirin,inşa etmek,,ava dikim,ava dikî,ava dike,ava dikin,ava dikin,ava dikin,ava nakim,ava nakî,ava nake,ava nakin,ava nakin,ava nakin,,,,,,,,,,,,
avêtin,atmak,,,,,,,,,,,,,,,,,,,,,,,,,
"avjenî kirin, soben kirin",yüzmek,,avjenî dikim,avjenî dikî,avjenî dike,avjenî dikin,avjenî dikin,avjenî dikin,avjenî nakim,avjenî nakî,avjenî nake,avjenî nakin,avjenî nakin,avjenî nakin,,,,,,,,,,,,
axaftin,konuşmak,,,,,,,,,,,,,,,,,,,,,,,,,
axivîn,konuşmak,,diaxivim,diaxivî,diaxive,diaxivin,diaxivin,diaxivin,naxivim,naxivî,naxive,naxivin,naxivin,naxivin,,,,,,,,,,,,
ba hatin,esmek (rüzgar),,,,,,,,,,,,,,,,,,,,,,,,,
bala xwe dan,dikkat etmek,,bala xwe didim,bala xwe didî,bala xwe dide,bala xwe didin,bala xwe didin,bala xwe didin,bala xwe nadim,bala xwe nadî,bala xwe nade,bala xwe nadin,bala xwe nadin,bala xwe nadin,,,,,,,,,,,,
bandor kirin,etkilemek,,bandor dikim,bandor dikî,bandor dike,bandor dikin,bandor dikin,bandor dikin,bandor nakim,bandor nakî,bandor nake,bandor nakin,bandor nakin,bandor nakin,,,,,,,,,,,,
bar kirin,taşımak,,bar dikim,bar dikî,bar dike,bar dikin,bar dikin,bar dikin,bar nakim,bar nakî,bar nake,bar nakin,bar nakin,bar nakin,,,,,,,,,,,,
barîn,yağmak,,dibarim,dibarî,dibare,dibarin,dibarin,dibarin,nabarim,nabarî,nabare,nabarin,nabarin,nabarin,,,,,,,,,,,,
bawer kirin,inanmak,,bawer dikim,bawer dikî,bawer dike,bawer dikin,bawer dikin,bawer dikin,bawer nakim,bawer nakî,bawer nake,bawer nakin,bawer nakin,bawer nakin,,,,,,,,,,,,
baz dan,koşmak,,baz didim,baz didî,baz dide,baz didin,baz didin,baz didin,baz nadim,baz nadî,baz nade,baz nadin,baz nadin,baz nadin,,,,,,,,,,,,
bêhn dan,kokmak,,bêhn didim,bêhn didî,bêhn dide,bêhn didin,bêhn didin,bêhn didin,bêhn nadim,bêhn nadî,bêhn nade,bêhn nadin,bêhn nadin,bêhn nadin,,,,,,,,,,,,
bêhna xwe dan,dinlenmek,,bêhna xwe didim,bêhna xwe didî,bêhna xwe dide,bêhna xwe didin,bêhna xwe didin,bêhna xwe didin,bêhna xwe nadim,bêhna xwe nadî,bêhna xwe nade,bêhna xwe nadin,bêhna xwe nadin,bêhna xwe nadin,,,,,,,,,,,,
belav kirin,dağıtmak,,belav dikim,belav dikî,belav dike,belav dikin,belav dikin,belav dikin,belav nakim,belav nakî,belav nake,belav nakin,belav nakin,belav nakin,,,,,,,,,,,,
berdewam kirin,devam etmek,,berdewam dikim,berdewam dikî,berdewam dike,berdewam dikin,berdewam dikin,berdewam dikin,berdewam nakim,berdewam nakî,berdewam nake,berdewam nakin,berdewam nakin,berdewam nakin,,,,,,,,,,,,
bêrî kirin,özlemek,,bêrî dikim,bêrî dikî,bêrî dike,bêrî dikin,bêrî dikin,bêrî dikin,bêrî nakim,bêrî nakî,bêrî nake,bêrî nakin,bêrî nakin,bêrî nakin,,,,,,,,,,,,
bersiv dan,cevap vermek,,bersiv didim,bersiv didî,bersiv dide,bersiv didin,bersiv didin,bersiv didin,bersiv nadim,bersiv nadî,bersiv nade,bersiv nadin,bersiv nadin,bersiv nadin,,,,,,,,,,,,
bexşandin,affetmek,,,,,,,,,,,,,,,,,,,,,,,,,
bezîn,koşmak,,dibezim,dibezî,dibeze,dibezin,dibezin,dibezin,nabezim,nabezî,nabeze,nabezin,nabezin,nabezin,,,,,,,,,,,,
bi bîr xistin,hatırlatmak,,,,,,,,,,,,,,,,,,,,,,,,,
bi hatin,hatırlamak,,,,,,,,,,,,,,,,,,,,,,,,,
bidest xistin,elde etmek,,,,,,,,,,,,,,,,,,,,,,,,,
bihîstin,işitmek,,,,,,,,,,,,,,,,,,,,,,,,,
bikar anîn,kullanmak,,,,,,,,,,,,,,,,,,,,,,,,,
bipaş xistin,ertelemek,,,,,,,,,,,,,,,,,,,,,,,,,
bipêş xistin,geliştirmek,,,,,,,,,,,,,,,,,,,,,,,,,
birçî bûn,acıkmak,,birçî dibim,birçî dibî,birçî dibe,birçî dibin,birçî dibin,birçî dibin,birçî nabim,birçî nabî,birçî nabe,birçî nabin,birçî nabin,birçî nabin,,,,,,,,,,,,
birêve birin,yönetmek,,,,,,,,,,,,,,,,,,,,,,,,,
birîn,kesmek,,,,,,,,,,,,,,,,,,,,,,,,,
biryar dan,karar vermek,,biryar didim,biryar didî,biryar dide,biryar didin,biryar didin,biryar didin,biryar nadim,biryar nadî,biryar nade,biryar nadin,biryar nadin,biryar nadin,,,,,,,,,,,,
biserneketin,başaramamak,,,,,,,,,,,,,,,,,,,,,,,,,
bişirîn,gülümsemek,,,,,,,,,,,,,,,,,,,,,,,,,
boyax kirin,boyamak,,boyax dikim,boyax dikî,boyax dike,boyax dikin,boyax dikin,boyax dikin,boyax nakim,boyax nakî,boyax nake,boyax nakin,boyax nakin,boyax nakin,,,,,,,,,,,,
bûn,olmak,,dibim,dibî,dibe,dibin,dibin,dibin,nabim,nabî,nabe,nabin,nabin,nabin,,,,,,,,,,,,
bûn sedem,neden olmak,,sedem dibim,sedem dibî,sedem dibe,sedem dibin,sedem dibin,sedem dibin,sedem nabim,sedem nabî,sedem nabe,sedem nabin,sedem nabin,sedem nabin,,,,,,,,,,,,
cerinbandin,denemek,,,,,,,,,,,,,,,,,,,,,,,,,
çinîn,hasat etmek,,diçinim,diçinî,diçine,diçinin,diçinin,diçinin,naçinim,naçinî,naçine,naçinin,naçinin,naçinin,,,,,,,,,,,,
çûn,gitmek,,diçim,diçî,diçe,diçin,diçin,diçin,naçim,naçî,naçe,naçin,naçin,naçin,,,,,,,,,,,,
cûtin,,,,,,,,,,,,,,,,,,,,,,,,,,
dan berhev,karşılaştırmak,,,,,,,,,,,,,,,,,,,,,,,,,
dan,vermek,,didim,didî,dide,didin,didin,didin,nadim,nadî,nade,nadin,nadin,nadin,,,,,,,,,,,,
daxwaz kirin,dilemek,,daxwaz dikim,daxwaz dikî,daxwaz dike,daxwaz dikin,daxwaz dikin,daxwaz dikin,daxwaz nakim,daxwaz nakî,daxwaz nake,daxwaz nakin,daxwaz nakin,daxwaz nakin,,,,,,,,,,,,
dehf dan,itmek,,dehf didim,dehf didî,dehf dide,dehf didin,dehf didin,dehf didin,dehf nadim,dehf nadî,dehf nade,dehf nadin,dehf nadin,dehf nadin,,,,,,,,,,,,
derketin,çıkmak,,derdikevim,derdikevî,derdikeve,derdikevin,derdikevin,derdikevin,dernakevim,dernakevî,dernakeve,dernakevin,dernakevin,dernakevin,,,,,,,,,,,,
derman kirin,tedavi etmek,,derman dikim,derman dikî,derman dike,derman dikin,derman dikin,derman dikin,derman nakim,derman nakî,derman nake,derman nakin,derman nakin,derman nakin,,,,,,,,,,,,
dest lê dan,dokunmak,,dest lê didim,dest lê didî,dest lê dide,dest lê didin,dest lê didin,dest lê didin,dest lê nadim,dest lê nadî,dest lê nade,dest lê nadin,dest lê nadin,dest lê nadin,,,,,,,,,,,,
dest pê kirin,başlamak,,dest pê dikim,dest pê dikî,dest pê dike,dest pê dikin,dest pê dikin,dest pê dikin,dest pê nakim,dest pê nakî,dest pê nake,dest pê nakin,dest pê nakin,dest pê nakin,,,,,,,,,,,,
destûr dan,izin vermek,,destûr didim,destûr didî,destûr dide,destûr didin,destûr didin,destûr didin,destûr nadim,destûr nadî,destûr nade,destûr nadin,destûr nadin,destûr nadin,,,,,,,,,,,,
dildarî bûn,âşık olmak,,dildarî dibim,dildarî dibî,dildarî dibe,dildarî dibin,dildarî dibin,dildarî dibin,dildarî nabim,dildarî nabî,dildarî nabe,dildarî nabin,dildarî nabin,dildarî nabin,,,,,,,,,,,,
dîtin,görmek,b,dîbinim,dîbinî,dîbine,dîbinin,dîbinin,dîbinin,nabinim,nabinî,nabine,nabinin,nabinin,nabinin,,,,,,,,,,,,
dubare kirin,tekrarlamak,,dubare dikim,dubare dikî,dubare dike,dubare dikin,dubare dikin,dubare dikin,dubare nakim,dubare nakî,dubare nake,dubare nakin,dubare nakin,dubare nakin,,,,,,,,,,,,
erê kirin,onaylamak,,erê dikim,erê dikî,erê dike,erê dikin,erê dikin,erê dikin,erê nakim,erê nakî,erê nake,erê nakin,erê nakin,erê nakin,,,,,,,,,,,,
êşandin,incitmek,,,,,,,,,,,,,,,,,,,,,,,,,
